"","comicName","comicSummary","comicGrade"
"1","
                                    
                                        나는 부활 마법을 가졌다
                                    
                                ","부활판타지","9.86"
"2","
                                    
                                        ㅎㅋ고모리
                                    
                                ","은둔형 외톨이인 모리의 성장일기","9.27"
"3","
                                    
                                        타챠노트
                                    
                                ","프리랜서일기","9.76"
"4","
                                    
                                        스윗칵테일
                                    
                                ","Self Made","9.39"
"5","
                                    
                                        아빠는 여섯 살
                                    
                                ","아빠 4컷 그림일기","9.94"
"6","
                                    
                                        봉츄자매라옹
                                    
                                ","웃기는 고양이자매","9.80"
"7","
                                    
                                        158동 진상부부
                                    
                                ","부부의 진짜 일상","9.13"
"8","
                                    
                                        나의 수상한 행성
                                    
                                ","소년 소녀와 소년","9.88"
"9","
                                    
                                        외국 in 한국
                                    
                                ","영국인의한국생활","9.86"
"10","
                                    
                                        마이데이
                                    
                                ","순정,학업로맨스","9.68"
"11","
                                    
                                        마법소년 근무일지
                                    
                                ","","9.66"
"12","
                                    
                                        엑소니클
                                    
                                ","퇴마사 이야기","9.80"
"13","
                                    
                                        충충의 하루
                                    
                                ","충충의 하루","9.60"
"14","
                                    
                                        발버둥치다
                                    
                                ","우울증 이야기","9.91"
"15","
                                    
                                        무대에 서지 않지만 배우입니다
                                    
                                ","배우 지망생 이야기","9.84"
"16","
                                    
                                        빛보다 찬란한 그대
                                    
                                ",".","9.90"
"17","
                                    
                                        홈 스윗 홈
                                    
                                ","네식구 사는 이야기","9.85"
"18","
                                    
                                        우로보로스
                                    
                                ","호러판타지 로맨스","9.27"
"19","
                                    
                                        루텔
                                    
                                ","력家네","9.90"
"20","
                                    
                                        빵뽀시래기
                                    
                                ","빵집 알바 해봤니?","9.86"
"21","
                                    
                                        1인 크리에이터
                                    
                                ","유X버 & bXj","8.86"
"22","
                                    
                                        육식 토끼
                                    
                                ","평범 콤플렉스 토끼","9.90"
"23","
                                    
                                        홍시관찰일기
                                    
                                ","아기를 싫어하던 여자가 아기를 낳았다!","9.83"
"24","
                                    
                                        사랑하는 계절
                                    
                                ","9일19일29일연재","9.60"
