"","tech_name","info_count"
"1","Web","945"
"2","안드로이드","359"
"3","Linux","354"
"4","App","331"
"5","Spring","319"
"6","소프트웨어","319"
"7","Oracle","310"
"8","JSP","310"
"9","솔루션","301"
"10","MySQL","300"
"11","서버","239"
"12","iOS","211"
"13","백엔드","205"
"14","웹에이전시","185"
"15","SpringFramework","181"
"16","PHP","123"
"17","NET","111"
"18","Windows","106"
"19","Ajax","101"
"20","C","98"
"21","ms sql","90"
"22","Unix","83"
"23","SpringBoot","79"
"24","MyBatis","79"
"25","보안","77"
"26","ASP","66"
"27","NoSQL","64"
"28","인공지능","62"
"29","MariaDB","61"
"30","JavaScript","60"
